FY,FP,Period,ULLG,Acct,CPBud,CPAct,CPVar,YTDBud,YTDAct,YTDVar
2021,202101,1,Fees,Fees,1398192.088,1299635,98557.08833,1398192.088,1299635,98557.08833
2021,202101,1,Opex,Janitorial,2180233.967,4245951.49,-2065717.523,2180233.967,4245951.49,-2065717.523
2021,202101,1,Opex,Landscape/Snow,1878850.396,1915816.13,-36965.73417,1878850.396,1915816.13,-36965.73417
2021,202101,1,Opex,Repair & Maintenance,1741364.702,2182057.79,-440693.0883,1741364.702,2182057.79,-440693.0883
2021,202101,1,Opex,Waste Disposal,288500.0929,315986,-27485.90711,288500.0929,315986,-27485.90711
2021,202101,1,PM Fees,PM Fees,173674.1367,138878.45,34795.68667,173674.1367,138878.45,34795.68667
2021,202101,1,Rent,Additional Rent Landlord OPEX,2034303.917,1357029.58,677274.3375,2034303.917,1357029.58,677274.3375
2021,202101,1,Rent,Contract Rent,,5995569.52,-5995569.52,,5995569.52,-5995569.52
2021,202101,1,Rent,OUP,,39026,-39026,,39026,-39026
2021,202101,1,Rent,Rent Gov,,786572.31,-786572.31,,786572.31,-786572.31
2021,202101,1,Rent,Rent NonGov,,-219987.77,219987.77,,-219987.77,219987.77
2021,202101,1,Special,Non-Recurring Adj,,185489.72,-185489.72,,185489.72,-185489.72
2021,202101,1,Utilities,Electricity,2440459.955,2302227.71,138232.245,2440459.955,2302227.71,138232.245
2021,202101,1,Utilities,Gas,1053145.869,997222.31,55923.55902,1053145.869,997222.31,55923.55902
2021,202101,1,Utilities,Other Utilities,321893.6694,367580,-45686.33064,321893.6694,367580,-45686.33064
2021,202102,2,Fees,Fees,1499024.638,1372571.3,126453.3383,2897216.727,2672206.3,225010.4267
2021,202102,2,Opex,Janitorial,2192998.967,4401248.29,-2208249.323,4373232.935,8647199.78,-4273966.845
2021,202102,2,Opex,Landscape/Snow,1958246.628,1964965.25,-6718.621842,3837097.024,3880781.38,-43684.35601
2021,202102,2,Opex,Repair & Maintenance,1777128.864,2222388.88,-445260.0164,3518493.565,4404446.67,-885953.1047
2021,202102,2,Opex,Waste Disposal,292716.7929,419976.71,-127259.9171,581216.8858,735962.71,-154745.8242
2021,202102,2,PM Fees,PM Fees,173674.1367,156642.27,17031.86667,347348.2733,295520.72,51827.55333
